window_length,polyorder,amp,A11,A12,A21,A22,B1,B2,A_rel_error,B_rel_error,stable,complex_pair,fn_Hz,zeta,fn_Hz_baseline,zeta_baseline,fn_rel_dev_from_baseline,zeta_rel_dev_from_baseline
51,3,0.1,-2967132.036164649,-2383029.1674666083,1543994.5084733223,-1607744.9313970336,-2511817.235724785,2529435.7999047595,0.06502371828886205,0.018537520743200128,True,True,462639.50574279774,0.7869132168638167,462000.31725631584,0.7800510169409607,0.0013835239124463225,0.008797116821623666
51,4,-0.1,-2939830.5632623327,-2362027.42588208,1583779.1298501187,-1736556.430316171,-2499870.0152684385,2609777.085288422,0.061278824569150375,0.03653822470789417,True,True,473365.20749970817,0.7861478769952956,461989.3787486549,0.8007638851440457,0.024623572043724985,0.018252581591040255
51,4,-0.05,-2845676.919309595,-2086224.9862567578,1608993.2772124268,-1689827.0924817882,-2667818.2120683473,2668855.9128292706,0.02976478594802543,0.054213365241962026,True,True,454788.5271656704,0.7936082814010454,453596.2041634908,0.8002548011242042,0.002628600043905718,0.008305504339145094
51,4,-0.025,-2483672.071049844,-2141849.68762652,1593337.4856457845,-1079102.2678328909,-1991143.333377359,2278965.099589629,0.16657492987119654,0.1731422357385847,True,True,392852.4842417476,0.7216871089011805,405461.5592712833,0.7324241189728685,0.03109807758890232,0.014659552837699178
51,4,0.025,-2793614.3287607646,-2057146.9709798708,1583720.4025972977,-531475.0369385167,-2642508.19821392,2058260.7072187485,0.27110982807634115,0.12475511842104814,True,True,346602.85072486656,0.76341612261207,364285.16493131575,0.7545887715722152,0.048539759256414176,0.011698227395383514
51,4,0.05,-2874700.0154643315,-1931815.6089394405,1461178.2534881611,-1387354.9436925005,-2711339.141056589,2299954.084732483,0.08362862113037105,0.06806760353432897,True,True,415359.52725591924,0.8165541777270852,441544.8751574887,0.8119707005428363,0.059303933472741016,0.00564488001991285
51,4,0.1,-2967477.79866458,-2375217.641664252,1539008.714376464,-1557499.6894156542,-2515615.454184013,2501659.220795522,0.06690633534015043,0.015569322476076796,True,True,457894.231270557,0.7863961646876343,462000.31725631584,0.7800510169409607,0.008887625900656745,0.008134272770461434
101,2,-0.1,-3000600.7046910254,-2265556.3489061547,1598225.064147949,-1292303.598102044,-2615840.072831139,2438906.300009489,0.10211516970877303,0.021060207608623687,True,True,435821.8019975939,0.7838489686362177,461989.3787486549,0.8007638851440457,0.056641078680073884,0.021123475748141805
101,2,-0.05,-2891575.009977514,-2156966.395274118,1564100.1518779628,-1208401.3125289516,-2694022.86405949,2416821.4776140302,0.11008374701943653,0.041308493563717234,True,True,417092.0762413729,0.7822391450910856,453596.2041634908,0.8002548011242042,0.08047714594401811,0.022512399810422974
101,2,-0.025,-2498242.833553167,-1892913.209274277,1618013.673383358,-1111906.9146470516,-2111397.3714763196,2324458.6956341965,0.16984140933326966,0.1372925098860567,True,True,384634.1648398264,0.7469086605544988,405461.5592712833,0.7324241189728685,0.051367124589785894,0.019776166849806893
